instrument_id,signal_date,session_date,exit,entry_price,stop_price,exit_date,exit_price,exit_reason,per_dollar,excess_over_spy,levered,pullback,spy_above_200
UFPI,2019-02-12,2019-02-13,wide,31.7158510005,28.49067771418799040626943576,2019-05-10,37.2913459995,time,0.175795,0.128121,False,False,True
ESNT,2019-02-14,2019-02-15,base,44.4121939995,42.50139003144679731672122563,2019-03-07,42.46568886382038200697517980,stop,-0.043828,-0.03532,False,False,True
ESNT,2019-02-14,2019-02-15,wide,44.4121939995,40.59058606339359463344245127,2019-05-14,46.7366180010,time,0.052338,0.030598,False,False,True
CHH,2019-02-20,2019-02-21,base,80.7303470010,77.66785674292950743164461792,2019-03-08,77.60261574326544664540203644,stop,-0.038743,-0.028073,False,False,True
CHH,2019-02-20,2019-02-21,wide,80.7303470010,74.60536648485901486328923585,2019-05-17,84.0279650000,time,0.040847,0.010496,False,False,True
HCSG,2019-02-20,2019-02-21,base,40.3401600000,37.61902091786173906454111708,2019-02-27,37.58742094029073520372690254,stop,-0.068238,-0.074654,False,True,True
HCSG,2019-02-20,2019-02-21,wide,40.3401600000,34.89788183572347812908223416,2019-03-04,34.86856761498147040745380508,stop,-0.135636,-0.142773,False,True,True
KRC,2019-02-26,2019-02-27,base,74.4071880015,71.97597736510974860398653911,2019-03-22,76.77385438303442358484080958,target,0.031807,0.031628,False,False,True
KRC,2019-02-26,2019-02-27,wide,74.4071880015,69.54476672871949720797307822,2019-05-23,75.0624480010,time,0.008806,-0.001724,False,False,True
IHI,2019-03-01,2019-03-04,base,37.9906538340,37.03282736636968905058433017,2019-03-07,37.00171979138193851178183933,stop,-0.026031,-0.010319,False,False,True
IHI,2019-03-01,2019-03-04,wide,37.9906538340,36.07500089873937810116866035,2019-04-17,36.04469789798443702356367868,stop,-0.051222,-0.087192,False,False,True
ALG,2019-03-06,2019-03-07,base,96.4882220010,91.96322995155557198294602916,2019-03-21,100.9283629506420546975196455,target,0.046017,0.010673,False,False,True
ALG,2019-03-06,2019-03-07,wide,96.4882220010,87.43823790211114396589205832,2019-06-03,94.7725900000,time,-0.017781,-0.016181,False,False,True
OHI,2019-03-06,2019-03-07,base,36.0180000000,34.46821053765879791723687253,2019-03-26,37.53623251919283547301360644,target,0.042152,0.019935,False,True,True
OHI,2019-03-06,2019-03-07,wide,36.0180000000,32.91842107531759583447374506,2019-06-03,35.4322759995,time,-0.016262,-0.014662,False,True,True
TX,2019-03-13,2019-03-14,base,28.1640750000,26.52128029273748191352164794,2019-04-11,27.3163350000,time,-0.0301,-0.055175,False,True,True
TX,2019-03-13,2019-03-14,wide,28.1640750000,24.87848558547496382704329589,2019-04-26,24.85758765758316485742857952,stop,-0.117401,-0.16097,False,True,True
VALE,2019-03-13,2019-03-14,base,13.1565750000,12.33526284983428309029676796,2019-03-19,13.96614572495957770749908133,target,0.061534,0.057123,False,False,True
VALE,2019-03-13,2019-03-14,wide,13.1565750000,11.51395069966856618059353592,2019-05-16,11.50427898108084458500183735,stop,-0.125587,-0.148848,False,False,True
NXST,2019-03-19,2019-03-20,base,105.5927710005,101.2105708899027422937243580,2019-03-28,109.8825921353639360098023705,target,0.040626,0.04361,False,False,True
NXST,2019-03-19,2019-03-20,wide,105.5927710005,96.82837077930548458744871600,2019-06-14,99.2303590005,time,-0.060254,-0.087638,False,False,True
FREL,2019-03-25,2019-03-26,base,25.8128989995,25.21701683796916578955649870,2019-04-22,25.19583454382527169029327124,stop,-0.023905,-0.056454,False,False,True
FREL,2019-03-25,2019-03-26,wide,25.8128989995,24.62113467643833157911299741,2019-06-20,27.3363250000,time,0.059018,0.006585,False,False,True
BAND,2019-03-26,2019-03-27,base,65.5327500000,59.92157763769677404695064289,2019-04-10,71.08416146751889124324879565,target,0.084712,0.053816,False,False,True
BAND,2019-03-26,2019-03-27,wide,65.5327500000,54.31040527539354809390128579,2019-06-21,75.2223719990,time,0.147859,0.096545,False,False,True
AD,2019-03-29,2019-04-01,base,46.4532150000,44.02921166708571921324410271,2019-04-22,48.83616146951463279089502234,target,0.051298,0.035764,False,True,True
AD,2019-03-29,2019-04-01,wide,46.4532150000,41.60520833417143842648820542,2019-06-26,43.5781980010,time,-0.061891,-0.078124,False,True,True
FCPT,2019-03-29,2019-04-01,base,29.3446650000,28.38303151465367462721502889,2019-04-16,28.35918976818136554052816827,stop,-0.033583,-0.048732,False,False,True
FCPT,2019-03-29,2019-04-01,wide,29.3446650000,27.42139802930734925443005778,2019-04-17,27.39836405496273108105633653,stop,-0.066326,-0.078991,False,False,True
NOBL,2019-04-04,2019-04-05,base,34.3421635005,33.75181565324310283390240759,2019-05-06,34.2278765005,time,-0.003328,-0.018056,False,False,True
NOBL,2019-04-04,2019-04-05,wide,34.3421635005,33.16146780598620566780481518,2019-05-13,33.13361217302917725504385914,stop,-0.035191,-0.008473,False,False,True
ADC,2019-04-05,2019-04-08,base,67.9639650000,65.75512671207143166348052538,2019-04-17,65.46161520378,stop_gap,-0.036819,-0.039104,False,False,True
ADC,2019-04-05,2019-04-08,wide,67.9639650000,63.54628842414286332696105076,2019-04-22,63.49290954186658332176640348,stop,-0.065786,-0.07091,False,False,True
BKF,2019-04-05,2019-04-08,base,44.2621220010,43.20837584661295574350098083,2019-04-25,42.89723419622,stop_gap,-0.030836,-0.042125,False,False,True
BKF,2019-04-05,2019-04-08,wide,44.2621220010,42.15462969222591148700196166,2019-05-07,42.11921980328444172135288001,stop,-0.048414,-0.045436,False,False,True
MTSI,2019-04-05,2019-04-08,base,17.9489710005,16.55519657186179246255351493,2019-04-11,16.54129020674142855688496998,stop,-0.078427,-0.076418,False,True,True
MTSI,2019-04-05,2019-04-08,wide,17.9489710005,15.16142214322358492510702986,2019-04-24,15.04292200000,stop_gap,-0.161906,-0.173818,False,True,True
UDR,2019-04-10,2019-04-11,base,45.5027400000,44.38342286809244445971920816,2019-04-16,44.34614079288324680637304403,stop,-0.025418,-0.032184,False,False,True
UDR,2019-04-10,2019-04-11,wide,45.5027400000,43.26410573618488891943841631,2019-04-22,43.22776388736649361274608804,stop,-0.049996,-0.057144,False,False,True
EPP,2019-04-23,2019-04-24,base,46.7633720010,46.10315333139614809137942783,2019-05-06,45.77630999622,stop_gap,-0.021108,-0.023127,False,False,True
EPP,2019-04-23,2019-04-24,wide,46.7633720010,45.44293466179229618275885567,2019-05-09,45.17857500756,stop_gap,-0.03389,-0.014829,False,False,True
HON,2019-04-29,2019-04-30,base,171.7140341100,167.5488216217282063237741638,2019-05-07,167.4080806115659546304621935,stop,-0.025076,-0.004363,False,False,True
