instrument_id,signal_date,session_date,arm,fill,spread_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
CHRD,2022-09-20,2022-09-21,O,141.370000,66.36543349336345665066365435,142.3082081332956791866704320,128.9346282381608850869127715,2022-09-23,127.1505224512849477548715052,stop_gap,74,-1.133405251313822213591185577,-0.106513
CHRD,2022-09-20,2022-09-21,T,139.380000,21.85831511807073494105421579,139.6846611961156699036084137,126.3110813009808758038507532,2022-09-23,126.0349865591827666045805022,stop,74,-1.020644789500121082086293229,-0.097718
CHRD,2022-09-20,2022-09-21,C,137.220000,6.559288681582975001822024635,137.3100065592886815829750018,123.9364266641538874832173413,2022-09-23,123.6655225172906134968885973,stop,74,-1.020256666426453760473361941,-0.09937
RMBS,2022-09-26,2022-09-27,O,25.390000,55.40166204986149584487534625,25.53066481994459833795013851,23.80921226342334636479488814,2022-10-04,27.24159532342474380519376518,target,580,0.9938876892068581343753511095,0.067015
RMBS,2022-09-26,2022-09-27,T,25.895000,3.861003861003861003861003861,25.90499806949806949806949806,24.18354551297681752491424769,2022-10-04,27.61578404276603215791539524,target,580,0.9938037309173105693051697145,0.066041
RMBS,2022-09-26,2022-09-27,C,25.500000,3.920031360250882007056056448,25.50999607996863974911799295,23.78854352344738777596274258,2022-10-04,27.22093456365727014245769380,target,580,0.9938923249480260772616279897,0.067069
BMI,2022-10-03,2022-10-04,O,96.790000,56.08058988472323190362446775,97.33280402949423616159518125,92.24651147457957633783621723,2022-10-07,92.11829238527128040161374218,stop,196,-1.025208752332659963478911779,-0.053574
BMI,2022-10-03,2022-10-04,T,97.185000,13.89961389961389961389961390,97.32008339768339768339768336,92.23379084276873785963871934,2022-10-07,92.10558943464751490354037981,stop,196,-1.025205276090017196976210026,-0.053581
BMI,2022-10-03,2022-10-04,C,96.060000,5.72409845449341728677733257,96.11498568975386376645678303,91.02869313483920394269781901,2022-10-12,90.90216676600313400671569077,stop,196,-1.024875951878507872046617584,-0.054235
ALIT,2022-10-06,2022-10-07,O,162.000000,36.90036900369003690036900369,162.5977859778597785977859778,148.7704543643603825586562058,2022-10-11,148.6792401066262560212198746,stop,72,-1.006596663787615794245530334,-0.085601
ALIT,2022-10-06,2022-10-07,T,163.200000,6.13120784794604537093807480,163.3000613120784794604537093,149.4727296985790834213239372,2022-10-11,149.3810848612408988208203664,stop,72,-1.006627803534321347708492280,-0.085236
ALIT,2022-10-06,2022-10-07,C,159.300000,6.277463904582548650345260515,159.4000000000000000000000000,145.5726683865006039608702280,2022-10-11,145.4834147578148279927765001,stop,72,-1.006454870048725751317402564,-0.087306
FDS,2022-10-12,2022-10-13,O,394.650000,41.43593902454477489007438194,396.2852693336036595410367854,374.1516181630626989500748241,2022-10-25,417.9410430029977835566341635,target,45,0.9784094590872167909207536502,0.054647
FDS,2022-10-12,2022-10-13,T,393.690000,11.42102992309839851780411664,394.1396345270424608512474304,372.0059833565015002602854691,2022-10-18,415.7978587323695625562699632,target,45,0.9785201744822546985665903948,0.054951
FDS,2022-10-12,2022-10-13,C,409.370000,5.863812944367074690317378875,409.6100469105035549365975226,387.4763957399625943456355613,2022-11-10,431.2506023115552385244697101,target,45,0.9777218965958238047398151453,0.052832
ADNT,2022-10-25,2022-10-26,O,34.940000,70.8194825841884665414077179,35.18744327214915450209567857,32.08708970902241544999597808,2022-11-03,32.06427790061275924677544916,stop,322,-1.007357808696712079325120732,-0.088758
ADNT,2022-10-25,2022-10-26,T,35.180000,7.10934167496089862078771506,35.20501066401251244134793120,32.10465710088577338924823071,2022-11-03,32.08183280321700773206833008,stop,322,-1.007361837030531161046466312,-0.088714
ADNT,2022-10-25,2022-10-26,C,34.850000,2.869440459110473457675753228,34.85999999999999999999999999,31.75964643687326094790029950,2022-11-04,37.93336625076848031539267666,target,322,0.9912954081498234835395714929,0.088163
VUSB,2022-11-04,2022-11-07,O,48.740000,1.025746230382603343932711048,48.74499948712688480869832803,48.66334727630916765015087261,2022-11-10,48.82164332255246486580284102,target,12247,0.9386620969355263545493528909,0.001572
VUSB,2022-11-04,2022-11-07,T,48.744500,1.025746230382603343932711048,48.74949994871268848086983280,48.66784773789497132232237738,2022-11-10,48.82614332250511787599135558,target,12247,0.9386564432839468211223314228,0.001572
VUSB,2022-11-04,2022-11-07,C,48.760000,1.025535842477694595426110142,48.76500051276792123884729771,48.68334830195020408029984229,2022-11-10,48.84164229659583578806072967,target,12247,0.9386369708838865778975190311,0.001572
EXE,2022-11-07,2022-11-08,O,102.460000,21.45294978059483178937103852,102.6798069234519746465138957,94.23815100420679219983723666,2022-11-21,94.18247663378288113709609611,stop,118,-1.006595195416219858438497093,-0.082756
EXE,2022-11-07,2022-11-08,T,101.612800,5.90783773139031114612051989,101.6728311933832217408428515,93.23117527413803929416619246,2022-12-06,93.17609580863539767977420771,stop,118,-1.006524722877779480705333354,-0.083569
EXE,2022-11-07,2022-11-08,C,104.700000,3.342724798242681820352418700,104.7349983286376008786590898,96.29334240939241843198243076,2022-11-21,96.23645386523562889765869163,stop,118,-1.006739026643705737526284049,-0.081143
SBUX,2022-11-21,2022-11-22,O,98.350000,4.570616017469910111218323092,98.39495200853181656594383218,93.06082962107042011429720441,2022-12-02,103.7184973515967621954208270,target,187,0.9980170975414224371805206035,0.054104
SBUX,2022-11-21,2022-11-22,T,98.050000,1.019679820536351585602120934,98.05999796064035892729682879,92.72587557317896247565020102,2022-12-01,103.3835774582936487453777440,target,187,0.9980235005794225538930484029,0.054289
SBUX,2022-11-21,2022-11-22,C,98.400000,0.5081559022308044107932313635,98.40500025407795111540220538,93.07087786661655466375557761,2022-12-02,103.7285445725435752261120484,target,187,0.9980169054574680218803197282,0.054098
SHM,2022-12-01,2022-12-02,O,46.970000,6.38162093171665603063178047,46.99997447351627313337587747,46.73545171124083217265792306,2023-01-03,47.02499953162538535133411289,time,3780,0.09460455460938461147752699035,0.000532
SHM,2022-12-01,2022-12-02,T,46.980000,1.064169415770990741726082792,46.98499946791529211450462912,46.72047670563985115378667471,2023-01-03,47.02499953162538535133411289,time,3780,0.1512159610235816577828553350,0.000851
