instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
APA,2022-09-16,2022-09-19,O,5.108556832694763729246487865,39.08995913154533844189016604,34.95393703821587153029995945,2022-09-23,34.94962652680408020319053782,stop,241,-1.001042187714312086181085583,-0.105918
APA,2022-09-16,2022-09-19,A,0,39.010000,34.87397790667053308840979341,2022-09-23,34.86967725580030611429604205,stop,241,-1.001039803650266525115594402,-0.106135
APA,2022-09-16,2022-09-19,C,1.235635734585444211046583467,40.46499938218213270727789446,36.32897728885266579568768787,2022-09-23,35.01210372592592592592592593,stop_gap,241,-1.318391327031492349082959480,-0.134756
APA,2022-09-16,2022-09-19,X,0,40.450000,36.31397790667053308840979341,2022-09-23,35.01210372592592592592592593,stop_gap,241,-1.314764803322558696703723161,-0.134435
HOMB,2022-09-21,2022-09-22,O,25.26315789473684210526315790,23.84007578947368421052631579,22.69046411093219964486470813,2022-09-23,22.68559595729329550419857110,stop,869,-1.004234606980576589397269418,-0.048426
HOMB,2022-09-21,2022-09-22,A,0,23.780000,22.63038832145851543433839234,2022-09-27,22.62553305685404031839023993,stop,869,-1.004223395338706895562307822,-0.048548
HOMB,2022-09-21,2022-09-22,C,2.135383301302583813794576126,23.42000000000000000000000001,22.27038832145851543433839235,2022-10-13,24.56434036086747866895153223,target,869,0.9954146971778386666641094555,0.048862
HOMB,2022-09-21,2022-09-22,X,0,23.310000,22.16038832145851543433839234,2022-10-13,24.45436396095329716283696453,target,869,0.9954352259235525544856942392,0.049093
ARW,2022-09-22,2022-09-23,O,46.21171413218699623858140784,93.31926061257388500806018272,87.65797547734119864945063628,2022-10-21,98.72884759558744778836885509,time,176,0.9555404565912615088517968370,0.057969
ARW,2022-09-22,2022-09-23,A,0,92.890000,87.22871486476731364139045356,2022-10-04,98.47135708565017809716704073,target,176,0.9858816421230789831682663425,0.060086
ARW,2022-09-22,2022-09-23,C,2.142015636714148013280496948,93.37999785798436328585198675,87.71871272275167692724244031,2022-10-21,98.72884759558744778836885509,time,176,0.9448119304775557210727189331,0.05728
ARW,2022-09-22,2022-09-23,X,0,93.280000,87.61871486476731364139045356,2022-10-21,98.72884759558744778836885509,time,176,0.9624753859643730690765653085,0.058414
CTAS,2022-09-26,2022-09-27,O,29.50230887634684453565931247,98.15873909697280656747049767,93.78235255977219519865479655,2022-10-04,102.4734452396461988984778327,target,228,0.9859060907890751882665344545,0.043956
