regime,arm,period,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
1x,NONE,primary,AEP,2018-08-17,2018-08-20,2018-08-22,72.5662639995,70.59086464680806536565791754,70.55556921448466133297508858,506,1.97539935269193463434208246,5.060,0.03732662987841883832097865912,-1.040934835124792090892612124,stop,-1.017867492097385732093636080,-1.022929759626416105982489402,2
1x,NONE,primary,AEP,2018-09-05,2018-09-06,2018-09-19,73.5267429990,71.70252691624898336579276689,71.66667565279085887410987051,548,1.82421608275101663420723311,5.480,0.1169022699758243062520984546,-1.555046590052007963771314868,stop,-1.019652969731556606517695478,-1.025134776461886194720510870,13
1x,NONE,primary,AEP,2018-10-24,2018-10-25,2018-10-26,75.0375000000,72.47851581664978240486244263,72.44227655874145751366001141,390,2.55898418335021759513755737,3.900,0.1807357790678079975063133881,-1.151825798368606148933726998,stop,-1.014161579483027721743654044,-1.018069380111520867635682441,1
1x,NONE,primary,AEP,2018-11-12,2018-11-13,2018-12-13,76.3281460005,73.52000014829956066826736417,80.3198209995,356,2.80814585220043933173263583,3.560,1.546163279267621198172030425,-0.4658408321187966467905290992,time,1.421462847405934147605373334,1.417901778812518999811660449,30
1x,NONE,primary,AEP,2019-01-24,2019-01-25,2019-02-25,77.4086880015,74.65566919382831493804031361,80.7396090005,363,2.75301880767168506195968639,3.630,1.580560941456133258484847277,-0.4027161014703164759134706218,time,1.209915816672921704349273639,1.206283440471156008541640125,31
1x,NONE,primary,AEP,2019-03-11,2019-03-12,2019-04-09,83.0314929990,80.97873841974190441173657086,83.5282150000,487,2.05275457925809558826342914,4.870,1.494823118167889249641608118,-0.4635191213865843042381452192,time,0.2419782695988551859715115117,0.2371067666432441018961050851,28
1x,NONE,primary,AEP,2019-05-13,2019-05-14,2019-06-12,86.3431530015,83.90150317363084812938488299,89.3453040005,409,2.44164982786915187061511701,4.090,1.935923384486774961693051633,-0.6483939602762895191073273808,time,1.229558376771824880029482446,1.225462785386909917329335189,29
1x,NONE,primary,AEP,2019-08-21,2019-08-22,2019-09-20,91.3256389995,88.48510311540852098316731125,93.1334100000,352,2.84053588409147901683268875,3.520,0.7865977025721118527949747531,-0.8011291151943474255317590092,time,0.6364189977759073491042068692,0.6328985352969767532203384087,29
1x,NONE,primary,AEP,2019-09-24,2019-09-25,2019-10-02,94.6472979990,92.26813153540929520658008712,92.22199746964159055897679708,420,2.37916646359070479341991288,4.200,0.09780694397011806288524436718,-1.247200666455961466689501505,stop,-1.019390852415630397246768465,-1.023594005138667573624042399,7
1x,NONE,primary,AEP,2019-10-24,2019-10-25,2019-10-28,95.7378470010,93.45874964415151033385341409,93.41202026932943457868648738,438,2.27909735684848966614658591,4.380,0.009720953312251515581794726565,-1.253939412641767535971614122,stop,-1.020503457073326877098938959,-1.024891159059795716741763916,3
1x,NONE,primary,AEP,2019-12-05,2019-12-06,2020-01-07,92.2460969985,89.94298318931769236068522372,93.6431569990,434,2.30311380918230763931477628,4.340,1.530058995543566972946804343,-0.8406440840139759509120634966,time,0.6065961633897757961100434938,0.6022542155623905842741825937,32
1x,NONE,primary,AEP,2020-01-15,2020-01-16,2020-02-14,96.7383470010,94.73669521373089291032231479,103.7081219990,499,2.00165178726910708967768521,4.990,4.112430569270296251583804745,-0.04913342151992285955422605714,time,3.482011727678669395727831807,3.477015853739155072548632053,29
1x,NONE,primary,AEP,2020-06-01,2020-06-02,2020-06-11,86.8534029990,81.93533483092376202140343096,81.89436716350830014039272924,203,4.91806816807623797859656904,2.030,0.2575401474143140953213542945,-1.190183380741879709726912511,stop,-1.008330032446761892092447459,-1.010363351152043608694320052,9
1x,NONE,primary,AEP,2020-07-13,2020-07-14,2020-07-27,84.6422979990,80.39479361291523318536896032,80.35459621610877556877627584,235,4.24750438608476681463103968,2.350,1.244896183821026928058163119,-1.274229407915669102732691806,stop,-1.009463768168938955654935231,-1.011818091811961188306767615,13
1x,NONE,primary,AEP,2020-09-30,2020-10-01,2020-10-29,81.7308470010,78.54513833505616282127035507,90.4947309995,313,3.18570866594383717872964493,3.130,3.917229510785404210872432955,-0.1352427501001108851558693732,time,2.750999830018513033661097159,2.747860811028200786394693434,28
1x,NONE,primary,AEP,2021-03-10,2021-03-11,2021-04-09,80.8804159980,77.35019749615734765185402900,85.8470540005,283,3.53021850184265234814597100,2.830,1.778810008140366258234327514,-0.3372068888593283771053721172,time,1.406892519516167680647680106,1.404059833665481570208432968,29
1x,NONE,primary,AEP,2021-04-15,2021-04-16,2021-05-12,88.2340970010,85.41083143339035573420693556,85.36812601767366055633983209,354,2.82326556760964426579306444,3.540,0.8450873436678007509729361871,-1.198647070195806233535759314,stop,-1.015126248202308609598681574,-1.018668245850254507365682981,26
1x,NONE,primary,AEP,2021-07-14,2021-07-15,2021-08-12,85.9829720010,83.61164027414392558677204704,88.9055220015,421,2.37133172685607441322795296,4.210,1.689778765922614588456673498,-0.5789873198467651969059664834,time,1.232450933541354007185556678,1.228233893855701060194391738,28
1x,NONE,primary,AEP,2021-08-16,2021-08-17,2021-09-15,90.0750139995,87.47144780881268569888335275,87.42771208490827935603391107,384,2.60356619068731430111664725,3.840,0.5434791731284769034236642791,-1.088897224752939876278342808,stop,-1.016798391399014352773241471,-1.020639277041088274607834429,29
1x,NONE,primary,AEP,2021-10-22,2021-10-25,2021-11-04,85.6127850000,83.22923325791513480763267245,83.18761864128617724022885611,419,2.38355174208486519236732755,4.190,0.1079137471440055187564478001,-1.180080109165027840426403891,stop,-1.017459078355294163931196949,-1.021654498082685152071857704,10
1x,NONE,primary,AEP,2021-12-15,2021-12-16,2022-01-14,87.1835689995,84.24789801810647161580898120,90.9345129985,340,2.93567098139352838419101880,3.400,1.497590509415011186721985695,-0.5598611049797609332249336053,time,1.277712666975871775565501587,1.274306290694816901369376587,29
1x,NONE,primary,AEP,2022-02-28,2022-03-01,2022-03-29,90.3951729990,86.68982746100446800040618540,98.6406569990,269,3.70534553799553199959381460,2.690,2.270996028497827727066293844,-0.1984076765476781522175558374,time,2.225294217623906419997752349,2.222595413990761408231314196,28
1x,NONE,primary,AEP,2022-03-30,2022-03-31,2022-04-29,99.8599029990,96.37954835666991567708963132,99.0604459995,287,3.48035464233008432291036868,2.870,1.422296147867830516064121707,-0.4769358785484858480860701949,time,-0.2297056138407684081025497250,-0.2325788842478626224062240995,29
1x,NONE,primary,AEP,2022-05-27,2022-05-31,2022-06-09,102.8313889995,98.68953945284657481864714968,98.64019468312015153123782611,241,4.14184954665342518135285032,2.410,0.07692529555001249550570021488,-1.125437065493206855703319559,stop,-1.011913704051923708669308369,-1.014328084363753215937192129,9
1x,NONE,primary,AEP,2022-07-29,2022-08-01,2022-08-29,98.3291389995,94.54658221144966759364940324,102.8785350000,264,3.78255678805033240635059676,2.640,1.890484241529607242728309859,-0.4227658933110830999285167979,time,1.202730389897179697090507627,1.200086675457361765270328397,28
1x,NONE,primary,AEP,2022-11-10,2022-11-11,2022-12-12,91.3156319985,86.46448509334945763587553453,98.5007279985,206,4.85114690515054236412446547,2.060,1.509821727666832605991871142,-0.6731663794870503806734156937,time,1.481112846195497716142367361,1.479051477988036747331174904,31
